"EFORSCDCID","FoodCategoryName","ContaminatedIngredient"
1802,"rice, unspecified",
1803,"chile relleno, unspecified","Eggs"
1803,"rice, yellow","Eggs"
1805,"lima beans",
1805,"turkey, unspecified",
1806,"beans, unspecified",
1806,"beef, other",
1807,"Chile Rellenos",
1813,"french fries",
1813,"hushpuppy",
1819,"potato salad",
1824,"fried rice, unspecified",
1825,"ice",
1826,"water, unspecified",
1829,"sandwich, submarine",
1830,"carnitas, unspecified",
1831,"mushrooms, unspecified",
1831,"roast beef, unspecified",
1832,"cake, brownie",
1833,"coleslaw",
1835,"watermelon",
1836,"lettuce, unspecified",
1837,"chicken, buffalo wings",
1837,"lettuce, unspecified",
1838,"pasta-based salads unspecified",
1838,"potato salad",
1839,"pasta-based salads unspecified",
1841,"other milk, unpasteurized","Milk"
1846,"fruit salad",
1846,"multiple cheeses, unspecified",
1850,"mixed vegetables, unspecified",
1850,"pie, pumpkin",
1852,"deli meat, unspecified",
1852,"potato salad",
1853,"vegetable-based salads unspecified",
1854,"bread, unspecified",
1859,"multiple foods",
1860,"multiple foods",
1863,"potato salad",
1863,"unspecified vegetables",
1874,"fried rice, unspecified",
1875,"punch, unspecified",
1876,"ethnic style, unspecified",
1877,"pineapple, unspecified","Fruit"
1881,"multiple foods",
1883,"chicken, fried",
1884,"oil, unspecified",
1897,"multiple foods",
1900,"sauces, unspecified",
1903,"deli meat, unspecified",
1903,"vegetable tray",
1905,"salad bar",
1914,"potato salad",
1916,"deviled eggs",
1916,"green beans, unspecified",
1917,"coleslaw",
1918,"multiple foods",
1919,"multiple foods",
1922,"ham, unspecified",
1923,"sandwich, other specialty",
1923,"sandwich, roast beef",
1923,"sandwich, turkey",
1924,"hollandaise sauce",
1926,"eggs, unspecified","Eggs"
1927,"potato, baked","Root (eg. potato)"
1930,"macaroni and cheese",
1931,"bagels",
1931,"butter",
1931,"iceberg lettuce, unspecified",
1932,"sandwich, submarine",
1934,"taco, fish",
1936,"fried rice, unspecified",
1938,"multiple foods",
1939,"gravy, unspecified",
1941,"beef, BBQ","Beef"
1942,"turkey, unspecified",
1945,"chicken salad",
1946,"green salad",
1946,"pasta salad",
1949,"beans, unspecified",
1949,"fajita, chicken",
1949,"guacamole",
1951,"ground beef, hamburger",
1952,"cookies, unspecified",
1954,"multiple foods",
1957,"roast beef, unspecified",
1959,"stuffing, unspecified",
1959,"turkey, unspecified",
1960,"gravy, chicken",
1960,"stuffing, unspecified",
1963,"cucumber, unspecified",
1969,"shrimp, unspecified",
1969,"steak, unspecified",
1976,"salad bar",
1977,"chicken salad",
1977,"potato salad",
1978,"ham, unspecified",
1979,"ground beef, hamburger",
1980,"chef salad",
1980,"potato, baked",
1982,"fish, grouper, unspecified","Fin fish"
1983,"macaroni and cheese",
1983,"multiple foods",
1983,"unspecified fish",
1985,"gelatin, unspecified",
1985,"ground beef, hamburger",
1985,"multiple foods",
1986,"cake, unspecified",
1986,"frosting/icing, unspecified",
1987,"pasta-based salads unspecified",
1989,"ice","Water"
1992,"fish, stuffed flounder",
1994,"meat, unspecified",
1994,"other cheese, unspecified",
1995,"pork, roasted",
1997,"fish, stuffed flounder",
2001,"macaroni salad",
2006,"chicken and rice",
2006,"ham, unspecified",
2006,"macaroni salad",
2007,"raspberries",
2009,"ice cream, homemade",
2012,"chicken, marsala","Chicken"
2018,"unknown food",
2019,"taco, beef",
2020,"strawberries",
2022,"green salad",
2024,"pickles, unspecified",
2024,"water",
2028,"coleslaw",
2040,"cake, unspecified",
2047,"coleslaw",
2049,"chicken, fried","Chicken"
2050,"other milk, unpasteurized",
2051,"other milk, unpasteurized","Milk"
2052,"tomato, unspecified","Vine-stalk  eg. tomato"
2054,"sandwich, submarine",
2055,"pizza, meat and vegetable",
2057,"gravy, unspecified",
2057,"turkey and stuffing",
2061,"fruit salad",
2062,"water","Water"
2066,"lettuce-based salads unspecified",
2066,"mixed fruit",
2067,"house salad",
2067,"mesclun mix, unspecified",
2070,"fried rice, unspecified",
2070,"soup unspecified",
2073,"chicken, fried",
2074,"sandwich, submarine",
2076,"ice cream, commercial","Eggs"
2077,"ice",
2077,"lettuce-based salads unspecified",
2077,"water",
2078,"shell egg, other","Eggs"
2080,"sandwich, submarine",
2081,"chicken, unspecified",
2083,"taco, beef",
2084,"multiple foods",
2084,"salad, unspecified",
2095,"fruit-based salads unspecified",
2096,"seven-layer salad",
2099,"seven-layer salad",
2108,"lettuce-based salads unspecified",
2110,"speciality dessert unspecified",
2116,"eggnog, unspecified","Eggs"
2118,"multiple foods",
2119,"other food *****",
2120,"taco, beef","Beef"
2124,"roast beef, unspecified","Beef"
2125,"rice, unspecified",
2127,"beef, chili",
2128,"multiple foods",
2129,"custard",
2133,"multiple foods",
2135,"veggie-based pasta",
2137,"fish, gifilte",
2138,"whole milk, unpasteurized","Milk"
2142,"multiple foods",
2144,"unspecified beverage",
2150,"fish, gifilte",
2151,"lasagna, beef",
2156,"multiple foods",
2159,"macaroni salad",
2161,"multiple foods",
2164,"sandwich, submarine",
2165,"scallops, unspecified",
2166,"chicken fried rice",
2167,"ground beef, cheeseburger",
2168,"multiple foods",
2171,"water, unspecified",
2172,"squid/calamari, unspecified",
2176,"soup, chicken",
2178,"butter",
2178,"rolls",
2179,"cheese, unspecified",
2179,"dips, unspecified",
2179,"unspecified vegetables",
2181,"stew/chili, other",
2182,"enchilada, chicken",
2183,"eggs, unspecified",
2184,"eggs, unspecified",
2188,"deli meat, sliced ham",
2189,"enchilada, chicken",
2190,"turkey, unspecified",
2191,"queso fresco, unspecified",
2202,"taco, beef",
2204,"roast beef, unspecified",
2207,"chicken, unspecified",
2207,"stuffing, unspecified",
2209,"pasta salad",
2210,"ground beef, meatballs",
2212,"mixed fruit",
2215,"coleslaw",
2215,"ground beef, hamburger",
2217,"sandwich, submarine",
2218,"rolls",
2220,"beer",
2220,"green beans, unspecified",
2223,"cherry tomato",
2223,"dips, unspecified",
2223,"vegetable dip, unspecified",
2226,"sandwich, submarine",
2227,"egg-containing food, other",
2227,"multiple foods",
2229,"onion dip",
2229,"unspecified fruit",
2230,"turkey, smoked","Turkey"
2231,"rice, unspecified",
2233,"other milk, unpasteurized","Milk"
2237,"sandwich, turkey",
2238,"turkey, smoked","Turkey"
2243,"ham, unspecified",
2245,"multiple foods",
2246,"salad bar",
2249,"ground beef, unspecified",
