"EFORSCDCID","OtherCounties"
12273,"Bedford"
12273,"Lynchburg"
12273,"Halifax"
12273,"Campbell"
12286,"Fulton"
12290,"Gaines"
12305,"Orange"
12305,"San Luis Obispo"
12305,"San Mateo"
12305,"Santa Clara"
12305,"Yolo"
12305,"Los Angeles"
12314,"Baltimore City"
12314,"Wicomico"
12314,"Prince George's"
12317,"Contra Costa"
12317,"Ventura"
12317,"San Diego"
12317,"San Bernardino"
12317,"Sacramento"
12317,"Los Angeles"
12317,"Lassen"
12317,"El Dorado"
12317,"Monterey"
12318,"Riverside"
12318,"San Bernardino"
12319,"Fresno"
12319,"Orange"
12319,"San Diego"
12320,"Pinellas"
12323,"Maricopa"
12323,"Pima"
12332,"Douglas"
12332,"Denver"
12354,"Los Angeles"
12354,"Riverside"
12373,"Isabella"
12373,"Oakland"
12373,"Kent"
12373,"Ionia"
12373,"Ingham"
12373,"Hillsdale"
12373,"Gratiot"
12373,"Genesee"
12373,"Clinton"
12373,"Alcona"
12373,"Montcalm"
12393,"Lackawanna"
12393,"Wayne"
12403,"Laurens"
12403,"Evans"
12403,"Candler"
12403,"Bryan"
12403,"Wayne"
12411,"Jefferson"
12411,"Meade"
12414,"Crawford"
12414,"Marion"
12415,"Larimer"
12427,"Putnam"
12427,"Shelby"
12427,"Morgan"
12427,"Monroe"
12427,"Marion"
12427,"Jackson"
12427,"Hamilton"
12427,"Fountain"
12427,"Clay"
12427,"Brown"
12427,"Allen"
12427,"Boone"
12427,"Vanderburgh"
12427,"Hancock"
12435,"Okanogan"
12435,"Spokane"
12435,"King"
12435,"Franklin"
12435,"Douglas"
12435,"Benton"
12435,"Thurston"
12435,"Grant"
12436,"Livingston"
12436,"Monroe"
12438,"Hamilton"
12441,"Mohave"
12441,"Navajo"
12445,"Allen"
12445,"Hamilton"
12445,"Howard"
12445,"Jay"
12445,"Marion"
12449,"Fairfax"
12449,"Prince William"
12465,"Baltimore City"
12502,"LaMoure"
12502,"Nelson"
12502,"Barnes"
12509,"Beaver"
12510,"Los Angeles"
12510,"Riverside"
12510,"San Bernardino"
12522,"Nobles"
12528,"Placer"
12528,"Yolo"
12541,"Middlesex"
12541,"Suffolk"
12553,"Palm Beach"
12565,"Muskingum"
12565,"Tuscarawas"
12570,"Noble"
12570,"Stark"
12570,"Washington"
12587,"Beaufort"
12610,"Boulder"
12610,"Denver"
12610,"El Paso"
12610,"Jefferson"
12610,"Summit"
12619,"New Haven"
12619,"Tolland"
12629,"Clay"
12629,"St. Louis"
12629,"St. Francois"
12629,"Schuyler"
12629,"Jackson"
12629,"Cole"
12629,"Chariton"
12629,"Cape Girardeau"
12629,"Barry"
12629,"Adair"
12629,"Franklin"
12637,"Dauphin"
12637,"Erie"
12637,"Lancaster"
12637,"Venango"
12637,"York"
12671,"Middlesex"
12671,"New Haven"
12671,"New London"
12672,"El Dorado"
12672,"Yolo"
12675,"Erie"
12676,"Rockland"
12676,"Ulster"
12676,"New York"
12676,"Columbia"
12703,"Winnebago"
12709,"Bibb"
12709,"Newton"
12709,"Oconee"
12712,"Carroll"
12712,"Frederick"
12724,"Adams"
12724,"Chester"
12726,"Huntingdon"
12768,"Tazewell"
12768,"Will"
12768,"Sangamon"
12768,"Peoria"
12768,"Morgan"
12768,"McLean"
12768,"Lake"
12768,"Kankakee"
12768,"Kane"
12768,"Winnebago"
12768,"DuPage"
12768,"Champaign"
12768,"McHenry"
12789,"Hendry"
12789,"Levy"
12789,"Marion"
12789,"Palm Beach"
12824,"Medina"
12824,"Morrow"
12825,"Carroll"
12834,"Franklin"
12834,"Marion"
12843,"Barnstable"
12843,"Essex"
12843,"Middlesex"
12845,"Accomack"
12850,"Winnebago"
12850,"Will"
12850,"McHenry"
12850,"Cook"
12850,"Kane"
12853,"Cook"
12853,"Ford"
12853,"Kane"
12867,"Jefferson"
12867,"Orange"
12868,"Chesterfield"
12868,"Gloucester"
12868,"Hampton"
12868,"Henrico"
12868,"Isle of Wight"
12868,"Newport News"
12868,"Poquoson"
12868,"Surry"
12868,"Virginia Beach"
12868,"York"
12878,"DuPage"
12879,"Pulaski"
12879,"Buchanan"
12879,"Caldwell"
12879,"Cass"
12879,"Clay"
12879,"Daviess"
12879,"DeKalb"
12879,"Macon"
12890,"Jefferson"
12890,"Arapahoe"
12892,"Franklin"
12897,"Salt Lake"
12903,"Douglas"
12921,"Jefferson"
12926,"San Diego"
12926,"Ventura"
12926,"San Luis Obispo"
12926,"San Bernardino"
12926,"Orange"
12926,"Marin"
12926,"Los Angeles"
12926,"Sonoma"
12932,"Whitfield"
12942,"Bell"
12942,"Henderson"
12942,"Hopkins"
12942,"Jefferson"
12942,"Morgan"
12942,"Perry"
12942,"Pike"
